id,di_id,equipment_id,serviceability,remarks
1,1,1,S,Voltage stable and terminals cleaned
2,1,2,S,Airflow normal and load balanced
3,1,6,S,Output healthy during routine check
4,2,4,S,Battery strings balanced
5,2,7,U,"Cooling delta slightly elevated, observe next shift"
6,2,5,S,No alarm indicators present
7,3,2,S,Morning inspection completed
8,3,8,S,Fans clear and responding
9,3,6,S,Input and bypass indicators normal
10,4,9,S,Routine inspection passed
11,4,10,S,Routine inspection passed
12,4,11,S,Operating within expected limits
13,4,12,S,Operating within expected limits
14,4,13,S,Operating within expected limits
15,4,14,S,No actionable issues identified
16,4,15,S,Operating within expected limits
17,4,16,U,Observed variance requiring monitoring
18,4,17,S,Routine inspection passed
19,4,18,S,No actionable issues identified
20,4,19,S,No actionable issues identified
21,4,20,S,Operating within expected limits
22,4,21,S,Operating within expected limits
23,4,22,S,No actionable issues identified
24,4,23,S,No actionable issues identified
25,4,24,S,Operating within expected limits
26,4,25,S,Routine inspection passed
27,4,26,S,Operating within expected limits
28,4,27,S,Routine inspection passed
29,4,28,S,Operating within expected limits
30,4,29,S,No actionable issues identified
31,4,30,S,Operating within expected limits
32,4,31,S,Routine inspection passed
33,4,32,S,Routine inspection passed
34,4,33,S,Routine inspection passed
35,4,34,S,Routine inspection passed
36,4,35,S,No actionable issues identified
37,4,36,U,Observed variance requiring monitoring
38,4,37,S,Routine inspection passed
39,4,38,S,Routine inspection passed
40,4,39,S,Operating within expected limits
41,4,40,S,Routine inspection passed
42,4,41,S,Operating within expected limits
43,4,42,S,Routine inspection passed
44,4,43,S,No actionable issues identified
45,4,44,S,Routine inspection passed
46,4,45,S,Operating within expected limits
47,4,46,S,Routine inspection passed
48,4,47,S,No actionable issues identified
49,4,48,U,Flagged for maintenance review
50,4,49,S,Operating within expected limits
51,4,50,S,Operating within expected limits
52,4,51,S,Operating within expected limits
53,4,52,S,No actionable issues identified
54,4,53,S,Operating within expected limits
55,4,54,S,Operating within expected limits
56,4,55,S,Operating within expected limits
57,4,56,S,No actionable issues identified
58,5,9,S,Operating within expected limits
59,5,10,S,Routine inspection passed
60,5,11,S,No actionable issues identified
61,5,12,U,Condition outside preferred threshold
62,5,13,S,Operating within expected limits
63,5,14,U,Flagged for maintenance review
64,5,15,S,Operating within expected limits
65,5,16,S,No actionable issues identified
66,5,17,S,Operating within expected limits
67,5,18,S,Routine inspection passed
68,5,19,S,No actionable issues identified
69,5,20,S,No actionable issues identified
70,5,21,S,Routine inspection passed
71,5,22,S,Routine inspection passed
72,5,23,S,Operating within expected limits
73,5,24,S,No actionable issues identified
74,5,25,S,Operating within expected limits
75,5,26,S,Operating within expected limits
76,5,27,S,Operating within expected limits
77,5,28,S,Routine inspection passed
78,5,29,S,Routine inspection passed
79,5,30,S,Routine inspection passed
80,5,31,S,Operating within expected limits
81,5,32,S,Operating within expected limits
82,5,33,S,Operating within expected limits
83,5,34,S,No actionable issues identified
84,5,35,S,No actionable issues identified
85,5,36,S,No actionable issues identified
86,5,37,S,Routine inspection passed
87,5,38,S,Routine inspection passed
88,5,39,S,Routine inspection passed
89,5,40,S,Routine inspection passed
90,5,41,S,Routine inspection passed
91,5,42,S,Operating within expected limits
92,5,43,S,Routine inspection passed
93,5,44,S,No actionable issues identified
94,5,45,S,No actionable issues identified
95,5,46,S,Routine inspection passed
96,5,47,S,Operating within expected limits
97,5,48,S,Routine inspection passed
98,5,49,S,Routine inspection passed
99,5,50,S,No actionable issues identified
100,5,51,S,No actionable issues identified
101,5,52,S,Operating within expected limits
102,5,53,S,No actionable issues identified
