id,equipment_id,severity,title,message,is_active,created_at
1,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=12.36C,False,2026-03-29T09:14:33.847674+00:00
2,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: voltage=257.32V,False,2026-03-29T09:14:38.954020+00:00
3,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=9.24C,False,2026-03-29T09:14:54.077553+00:00
4,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=3.32,False,2026-03-29T09:14:48.998834+00:00
5,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=3.83,False,2026-03-29T09:15:09.220766+00:00
6,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: frequency=52.92Hz,False,2026-03-29T09:15:37.863145+00:00
7,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=15.19V,False,2026-03-29T09:15:58.186268+00:00
8,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.77,False,2026-03-29T09:15:48.062462+00:00
9,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: temperature=36.00C,False,2026-03-29T09:16:13.473526+00:00
10,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: temperature=13.44C,False,2026-03-29T09:16:23.501331+00:00
11,1,critical,Telemetry anomaly on Battery Bank A,"Battery anomaly: voltage=10.73V, temperature=8.16C",False,2026-03-29T09:16:28.546408+00:00
12,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: voltage=193.78V,False,2026-03-29T09:16:33.625617+00:00
13,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.62,False,2026-03-29T09:16:59.253201+00:00
14,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=44.43C,False,2026-03-29T09:17:09.366495+00:00
15,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=3.13,False,2026-03-29T09:17:34.761627+00:00
16,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=10.94V,False,2026-03-29T09:17:19.491764+00:00
17,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=14.92C,False,2026-03-29T09:17:34.738583+00:00
18,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: temperature=36.85C,False,2026-03-29T09:17:44.910809+00:00
19,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.86,False,2026-03-29T09:18:25.486277+00:00
20,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=45.21C,False,2026-03-29T09:18:30.496078+00:00
21,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.95,False,2026-03-29T09:18:50.849987+00:00
22,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=46.40C,False,2026-03-29T09:18:50.833178+00:00
23,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=43.69C,False,2026-03-29T09:19:00.943953+00:00
24,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: voltage=201.03V,False,2026-03-29T09:19:00.982025+00:00
25,2,critical,Telemetry anomaly on Server Rack A,"Server anomaly: voltage=202.84V, frequency=47.01Hz",False,2026-03-29T09:19:26.505607+00:00
26,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=10.63V,False,2026-03-29T09:19:26.463696+00:00
27,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: frequency=52.44Hz,False,2026-03-29T09:19:51.880912+00:00
28,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: frequency=52.85Hz,False,2026-03-29T09:20:01.983275+00:00
29,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=42.12C,False,2026-03-29T09:20:17.074080+00:00
30,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: frequency=53.36Hz,False,2026-03-29T09:20:12.081951+00:00
31,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: temperature=35.30C,False,2026-03-29T09:20:32.165468+00:00
32,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=12.03C,False,2026-03-29T09:20:37.170318+00:00
33,2,critical,Telemetry anomaly on Server Rack A,"Server anomaly: frequency=53.54Hz, pressure=3.57",False,2026-03-29T09:20:47.503413+00:00
34,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=10.54V,False,2026-03-29T09:21:02.525262+00:00
35,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: frequency=53.10Hz,False,2026-03-29T09:20:57.504745+00:00
36,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.49,False,2026-03-29T09:21:12.562306+00:00
37,1,critical,Telemetry anomaly on Battery Bank A,"Battery anomaly: voltage=10.73V, temperature=13.58C",False,2026-03-29T09:21:27.738718+00:00
38,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: voltage=264.04V,False,2026-03-29T09:21:32.796809+00:00
39,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=15.60V,False,2026-03-29T09:21:37.840253+00:00
40,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=42.07C,False,2026-03-29T09:21:47.966693+00:00
41,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: temperature=8.29C,False,2026-03-29T09:21:47.976137+00:00
42,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.01,False,2026-03-29T09:21:58.022860+00:00
43,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: voltage=191.54V,False,2026-03-29T09:22:43.496391+00:00
44,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: voltage=199.63V,False,2026-03-29T09:22:58.586848+00:00
45,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=46.84C,False,2026-03-29T09:23:08.623314+00:00
46,2,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.43,False,2026-03-29T09:23:28.780525+00:00
47,1,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=11.06V,False,2026-03-29T09:23:23.713302+00:00
