alert_id,created_at,equipment_id,equipment_name,equipment_type,place,severity,title,message,is_active
1,2026-03-29T09:14:33.847674+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=12.36C,False
2,2026-03-29T09:14:38.954020+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: voltage=257.32V,False
3,2026-03-29T09:14:54.077553+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=9.24C,False
4,2026-03-29T09:14:48.998834+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=3.32,False
5,2026-03-29T09:15:09.220766+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=3.83,False
6,2026-03-29T09:15:37.863145+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: frequency=52.92Hz,False
7,2026-03-29T09:15:58.186268+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=15.19V,False
8,2026-03-29T09:15:48.062462+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.77,False
9,2026-03-29T09:16:13.473526+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: temperature=36.00C,False
10,2026-03-29T09:16:23.501331+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: temperature=13.44C,False
11,2026-03-29T09:16:28.546408+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,"Battery anomaly: voltage=10.73V, temperature=8.16C",False
12,2026-03-29T09:16:33.625617+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: voltage=193.78V,False
13,2026-03-29T09:16:59.253201+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.62,False
14,2026-03-29T09:17:09.366495+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=44.43C,False
15,2026-03-29T09:17:34.761627+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=3.13,False
16,2026-03-29T09:17:19.491764+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=10.94V,False
17,2026-03-29T09:17:34.738583+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=14.92C,False
18,2026-03-29T09:17:44.910809+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: temperature=36.85C,False
19,2026-03-29T09:18:25.486277+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.86,False
20,2026-03-29T09:18:30.496078+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=45.21C,False
21,2026-03-29T09:18:50.849987+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.95,False
22,2026-03-29T09:18:50.833178+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=46.40C,False
23,2026-03-29T09:19:00.943953+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=43.69C,False
24,2026-03-29T09:19:00.982025+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: voltage=201.03V,False
25,2026-03-29T09:19:26.505607+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,"Server anomaly: voltage=202.84V, frequency=47.01Hz",False
26,2026-03-29T09:19:26.463696+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=10.63V,False
27,2026-03-29T09:19:51.880912+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: frequency=52.44Hz,False
28,2026-03-29T09:20:01.983275+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: frequency=52.85Hz,False
29,2026-03-29T09:20:17.074080+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=42.12C,False
30,2026-03-29T09:20:12.081951+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: frequency=53.36Hz,False
31,2026-03-29T09:20:32.165468+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: temperature=35.30C,False
32,2026-03-29T09:20:37.170318+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=12.03C,False
33,2026-03-29T09:20:47.503413+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,"Server anomaly: frequency=53.54Hz, pressure=3.57",False
34,2026-03-29T09:21:02.525262+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=10.54V,False
35,2026-03-29T09:20:57.504745+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: frequency=53.10Hz,False
36,2026-03-29T09:21:12.562306+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.49,False
37,2026-03-29T09:21:27.738718+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,"Battery anomaly: voltage=10.73V, temperature=13.58C",False
38,2026-03-29T09:21:32.796809+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: voltage=264.04V,False
39,2026-03-29T09:21:37.840253+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=15.60V,False
40,2026-03-29T09:21:47.966693+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=42.07C,False
41,2026-03-29T09:21:47.976137+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: temperature=8.29C,False
42,2026-03-29T09:21:58.022860+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.01,False
43,2026-03-29T09:22:43.496391+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: voltage=191.54V,False
44,2026-03-29T09:22:58.586848+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: voltage=199.63V,False
45,2026-03-29T09:23:08.623314+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=46.84C,False
46,2026-03-29T09:23:28.780525+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: pressure=-0.43,False
47,2026-03-29T09:23:23.713302+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=11.06V,False
48,2026-03-29T09:23:43.855148+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=10.51V,False
49,2026-03-29T09:24:14.099737+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: frequency=53.82Hz,False
50,2026-03-29T09:24:03.998317+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: temperature=47.08C,False
51,2026-03-29T09:24:59.499411+00:00,2,Server Rack A,server,Main Data Hall,critical,Telemetry anomaly on Server Rack A,Server anomaly: temperature=38.59C,False
52,2026-03-29T09:24:44.340497+00:00,1,Battery Bank A,battery,Main Data Hall,critical,Telemetry anomaly on Battery Bank A,Battery anomaly: voltage=10.63V,False
