di_log_id,inspection_id,inspection_date,inspection_status,inspection_created_at,created_by_user_id,created_by_username,equipment_id,equipment_name,equipment_type,place,serviceability,remarks
1,1,2026-03-27,completed,2026-03-29T09:54:08.710292,2,operator,1,Battery Bank A,battery,Main Data Hall,S,Voltage stable and terminals cleaned
2,1,2026-03-27,completed,2026-03-29T09:54:08.710292,2,operator,2,Server Rack A,server,Main Data Hall,S,Airflow normal and load balanced
3,1,2026-03-27,completed,2026-03-29T09:54:08.710292,2,operator,6,UPS Panel 1,ups,UPS Room,S,Output healthy during routine check
4,2,2026-03-28,supervisor_approved,2026-03-29T09:54:08.710292,2,operator,4,Battery Bank B,battery,UPS Room,S,Battery strings balanced
5,2,2026-03-28,supervisor_approved,2026-03-29T09:54:08.710292,2,operator,7,Cooling Unit 1,cooling,Cooling Bay,U,"Cooling delta slightly elevated, observe next shift"
6,2,2026-03-28,supervisor_approved,2026-03-29T09:54:08.710292,2,operator,5,Server Rack B,server,Main Data Hall,S,No alarm indicators present
7,3,2026-03-29,submitted,2026-03-29T09:54:08.710292,2,operator,2,Server Rack A,server,Main Data Hall,S,Morning inspection completed
8,3,2026-03-29,submitted,2026-03-29T09:54:08.710292,2,operator,8,Cooling Unit 2,cooling,Cooling Bay,S,Fans clear and responding
9,3,2026-03-29,submitted,2026-03-29T09:54:08.710292,2,operator,6,UPS Panel 1,ups,UPS Room,S,Input and bypass indicators normal
10,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,9,Demo Server Rack A01,server,Compute Hall A,S,Routine inspection passed
11,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,10,Demo Server Rack A02,server,Compute Hall A,S,Routine inspection passed
12,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,11,Demo Server Rack A03,server,Compute Hall A,S,Operating within expected limits
13,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,12,Demo Server Rack A04,server,Compute Hall A,S,Operating within expected limits
14,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,13,Demo Server Rack A05,server,Compute Hall A,S,Operating within expected limits
15,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,14,Demo Server Rack A06,server,Compute Hall A,S,No actionable issues identified
16,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,15,Demo Server Rack A07,server,Compute Hall A,S,Operating within expected limits
17,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,16,Demo Server Rack A08,server,Compute Hall A,U,Observed variance requiring monitoring
18,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,17,Demo Server Rack B01,server,Compute Hall B,S,Routine inspection passed
19,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,18,Demo Server Rack B02,server,Compute Hall B,S,No actionable issues identified
20,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,19,Demo Server Rack B03,server,Compute Hall B,S,No actionable issues identified
21,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,20,Demo Server Rack B04,server,Compute Hall B,S,Operating within expected limits
22,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,21,Demo Server Rack B05,server,Compute Hall B,S,Operating within expected limits
23,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,22,Demo Server Rack B06,server,Compute Hall B,S,No actionable issues identified
24,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,23,Demo Server Rack B07,server,Compute Hall B,S,No actionable issues identified
25,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,24,Demo Server Rack B08,server,Compute Hall B,S,Operating within expected limits
26,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,25,Demo Server Rack C01,server,Compute Hall C,S,Routine inspection passed
27,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,26,Demo Server Rack C02,server,Compute Hall C,S,Operating within expected limits
28,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,27,Demo Server Rack C03,server,Compute Hall C,S,Routine inspection passed
29,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,28,Demo Server Rack C04,server,Compute Hall C,S,Operating within expected limits
30,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,29,Demo Server Rack C05,server,Compute Hall C,S,No actionable issues identified
31,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,30,Demo Server Rack C06,server,Compute Hall C,S,Operating within expected limits
32,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,31,Demo Server Rack C07,server,Compute Hall C,S,Routine inspection passed
33,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,32,Demo Server Rack C08,server,Compute Hall C,S,Routine inspection passed
34,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,33,Demo Battery Bank 01,battery,UPS Room East,S,Routine inspection passed
35,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,34,Demo Battery Bank 02,battery,UPS Room West,S,Routine inspection passed
36,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,35,Demo Battery Bank 03,battery,UPS Room East,S,No actionable issues identified
37,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,36,Demo Battery Bank 04,battery,UPS Room West,U,Observed variance requiring monitoring
38,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,37,Demo Battery Bank 05,battery,UPS Room East,S,Routine inspection passed
39,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,38,Demo Battery Bank 06,battery,UPS Room West,S,Routine inspection passed
40,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,39,Demo Battery Bank 07,battery,UPS Room East,S,Operating within expected limits
41,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,40,Demo Battery Bank 08,battery,UPS Room West,S,Routine inspection passed
42,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,41,Demo UPS Panel 01,ups,UPS Room East,S,Operating within expected limits
43,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,42,Demo UPS Panel 02,ups,UPS Room West,S,Routine inspection passed
44,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,43,Demo UPS Panel 03,ups,UPS Room East,S,No actionable issues identified
45,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,44,Demo UPS Panel 04,ups,UPS Room West,S,Routine inspection passed
46,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,45,Demo UPS Panel 05,ups,UPS Room East,S,Operating within expected limits
47,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,46,Demo UPS Panel 06,ups,UPS Room West,S,Routine inspection passed
48,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,47,Demo Cooling Unit 01,cooling,Cooling Plant 1,S,No actionable issues identified
49,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,48,Demo Cooling Unit 02,cooling,Cooling Plant 2,U,Flagged for maintenance review
50,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,49,Demo Cooling Unit 03,cooling,Cooling Plant 1,S,Operating within expected limits
51,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,50,Demo Cooling Unit 04,cooling,Cooling Plant 2,S,Operating within expected limits
52,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,51,Demo Cooling Unit 05,cooling,Cooling Plant 1,S,Operating within expected limits
53,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,52,Demo Cooling Unit 06,cooling,Cooling Plant 2,S,No actionable issues identified
54,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,53,Demo Network Core 01,network,Network Core,S,Operating within expected limits
55,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,54,Demo Network Core 02,network,Network Core,S,Operating within expected limits
56,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,55,Demo Network Core 03,network,Network Core,S,Operating within expected limits
57,4,2025-11-29,rejected,2025-11-29T08:30:00,6,tableau_operator01,56,Demo Network Core 04,network,Network Core,S,No actionable issues identified
58,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,9,Demo Server Rack A01,server,Compute Hall A,S,Operating within expected limits
59,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,10,Demo Server Rack A02,server,Compute Hall A,S,Routine inspection passed
60,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,11,Demo Server Rack A03,server,Compute Hall A,S,No actionable issues identified
61,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,12,Demo Server Rack A04,server,Compute Hall A,U,Condition outside preferred threshold
62,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,13,Demo Server Rack A05,server,Compute Hall A,S,Operating within expected limits
63,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,14,Demo Server Rack A06,server,Compute Hall A,U,Flagged for maintenance review
64,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,15,Demo Server Rack A07,server,Compute Hall A,S,Operating within expected limits
65,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,16,Demo Server Rack A08,server,Compute Hall A,S,No actionable issues identified
66,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,17,Demo Server Rack B01,server,Compute Hall B,S,Operating within expected limits
67,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,18,Demo Server Rack B02,server,Compute Hall B,S,Routine inspection passed
68,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,19,Demo Server Rack B03,server,Compute Hall B,S,No actionable issues identified
69,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,20,Demo Server Rack B04,server,Compute Hall B,S,No actionable issues identified
70,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,21,Demo Server Rack B05,server,Compute Hall B,S,Routine inspection passed
71,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,22,Demo Server Rack B06,server,Compute Hall B,S,Routine inspection passed
72,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,23,Demo Server Rack B07,server,Compute Hall B,S,Operating within expected limits
73,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,24,Demo Server Rack B08,server,Compute Hall B,S,No actionable issues identified
74,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,25,Demo Server Rack C01,server,Compute Hall C,S,Operating within expected limits
75,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,26,Demo Server Rack C02,server,Compute Hall C,S,Operating within expected limits
76,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,27,Demo Server Rack C03,server,Compute Hall C,S,Operating within expected limits
77,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,28,Demo Server Rack C04,server,Compute Hall C,S,Routine inspection passed
78,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,29,Demo Server Rack C05,server,Compute Hall C,S,Routine inspection passed
79,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,30,Demo Server Rack C06,server,Compute Hall C,S,Routine inspection passed
80,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,31,Demo Server Rack C07,server,Compute Hall C,S,Operating within expected limits
81,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,32,Demo Server Rack C08,server,Compute Hall C,S,Operating within expected limits
82,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,33,Demo Battery Bank 01,battery,UPS Room East,S,Operating within expected limits
83,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,34,Demo Battery Bank 02,battery,UPS Room West,S,No actionable issues identified
84,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,35,Demo Battery Bank 03,battery,UPS Room East,S,No actionable issues identified
85,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,36,Demo Battery Bank 04,battery,UPS Room West,S,No actionable issues identified
86,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,37,Demo Battery Bank 05,battery,UPS Room East,S,Routine inspection passed
87,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,38,Demo Battery Bank 06,battery,UPS Room West,S,Routine inspection passed
88,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,39,Demo Battery Bank 07,battery,UPS Room East,S,Routine inspection passed
89,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,40,Demo Battery Bank 08,battery,UPS Room West,S,Routine inspection passed
90,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,41,Demo UPS Panel 01,ups,UPS Room East,S,Routine inspection passed
91,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,42,Demo UPS Panel 02,ups,UPS Room West,S,Operating within expected limits
92,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,43,Demo UPS Panel 03,ups,UPS Room East,S,Routine inspection passed
93,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,44,Demo UPS Panel 04,ups,UPS Room West,S,No actionable issues identified
94,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,45,Demo UPS Panel 05,ups,UPS Room East,S,No actionable issues identified
95,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,46,Demo UPS Panel 06,ups,UPS Room West,S,Routine inspection passed
96,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,47,Demo Cooling Unit 01,cooling,Cooling Plant 1,S,Operating within expected limits
97,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,48,Demo Cooling Unit 02,cooling,Cooling Plant 2,S,Routine inspection passed
98,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,49,Demo Cooling Unit 03,cooling,Cooling Plant 1,S,Routine inspection passed
99,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,50,Demo Cooling Unit 04,cooling,Cooling Plant 2,S,No actionable issues identified
100,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,51,Demo Cooling Unit 05,cooling,Cooling Plant 1,S,No actionable issues identified
101,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,52,Demo Cooling Unit 06,cooling,Cooling Plant 2,S,Operating within expected limits
102,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,53,Demo Network Core 01,network,Network Core,S,No actionable issues identified
103,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,54,Demo Network Core 02,network,Network Core,S,No actionable issues identified
104,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,55,Demo Network Core 03,network,Network Core,S,No actionable issues identified
105,5,2025-11-29,completed,2025-11-29T20:30:00,7,tableau_operator02,56,Demo Network Core 04,network,Network Core,U,Condition outside preferred threshold
106,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,9,Demo Server Rack A01,server,Compute Hall A,S,Operating within expected limits
107,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,10,Demo Server Rack A02,server,Compute Hall A,S,Routine inspection passed
108,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,11,Demo Server Rack A03,server,Compute Hall A,S,No actionable issues identified
109,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,12,Demo Server Rack A04,server,Compute Hall A,S,Routine inspection passed
110,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,13,Demo Server Rack A05,server,Compute Hall A,S,Operating within expected limits
111,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,14,Demo Server Rack A06,server,Compute Hall A,S,Operating within expected limits
112,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,15,Demo Server Rack A07,server,Compute Hall A,S,No actionable issues identified
113,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,16,Demo Server Rack A08,server,Compute Hall A,S,Operating within expected limits
114,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,17,Demo Server Rack B01,server,Compute Hall B,S,Routine inspection passed
115,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,18,Demo Server Rack B02,server,Compute Hall B,U,Observed variance requiring monitoring
116,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,19,Demo Server Rack B03,server,Compute Hall B,S,Routine inspection passed
117,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,20,Demo Server Rack B04,server,Compute Hall B,S,No actionable issues identified
118,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,21,Demo Server Rack B05,server,Compute Hall B,S,No actionable issues identified
119,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,22,Demo Server Rack B06,server,Compute Hall B,S,Routine inspection passed
120,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,23,Demo Server Rack B07,server,Compute Hall B,S,Operating within expected limits
121,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,24,Demo Server Rack B08,server,Compute Hall B,S,Routine inspection passed
122,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,25,Demo Server Rack C01,server,Compute Hall C,S,Routine inspection passed
123,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,26,Demo Server Rack C02,server,Compute Hall C,U,Flagged for maintenance review
124,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,27,Demo Server Rack C03,server,Compute Hall C,S,Routine inspection passed
125,6,2025-11-30,completed,2025-11-30T08:30:00,9,tableau_operator04,28,Demo Server Rack C04,server,Compute Hall C,S,No actionable issues identified
