workflow_id,inspection_id,inspection_date,inspection_status,from_role,to_role,action,comments,acted_by_user_id,acted_by_username,acted_by_role,acted_at
1,1,2026-03-27,completed,supervisor,reviewer,approved,All critical readings within range,3,supervisor1,supervisor,2026-03-29T09:54:08.710292
2,1,2026-03-27,completed,reviewer,manager,approved,Inspection data validated,4,reviewer1,reviewer,2026-03-29T09:54:08.710292
3,1,2026-03-27,completed,manager,completed,approved,Closed for operations,5,manager1,manager,2026-03-29T09:54:08.710292
4,2,2026-03-28,supervisor_approved,supervisor,reviewer,approved,Forwarded with cooling observation,3,supervisor1,supervisor,2026-03-29T09:54:08.710292
5,4,2025-11-29,rejected,supervisor,creator,rejected,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-11-29T09:30:00
6,5,2025-11-29,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-11-29T21:30:00
7,5,2025-11-29,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-11-29T22:30:00
8,5,2025-11-29,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-11-29T23:30:00
9,6,2025-11-30,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-11-30T09:30:00
10,6,2025-11-30,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-11-30T10:30:00
11,6,2025-11-30,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-11-30T11:30:00
12,7,2025-11-30,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-11-30T21:30:00
13,7,2025-11-30,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-11-30T22:30:00
14,7,2025-11-30,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-11-30T23:30:00
15,8,2025-12-01,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-01T09:30:00
16,8,2025-12-01,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-01T10:30:00
17,8,2025-12-01,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-01T11:30:00
18,9,2025-12-01,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-01T21:30:00
19,9,2025-12-01,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-01T22:30:00
20,9,2025-12-01,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-01T23:30:00
21,10,2025-12-02,rejected,supervisor,creator,rejected,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-02T09:30:00
22,11,2025-12-02,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-02T21:30:00
23,11,2025-12-02,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-02T22:30:00
24,11,2025-12-02,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-02T23:30:00
25,12,2025-12-03,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-03T09:30:00
26,12,2025-12-03,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-03T10:30:00
27,12,2025-12-03,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-03T11:30:00
28,13,2025-12-03,rejected,supervisor,creator,rejected,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-03T21:30:00
29,14,2025-12-04,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-04T09:30:00
30,14,2025-12-04,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-04T10:30:00
31,14,2025-12-04,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-04T11:30:00
32,15,2025-12-04,rejected,supervisor,creator,rejected,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-04T21:30:00
33,16,2025-12-05,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-05T09:30:00
34,16,2025-12-05,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-05T10:30:00
35,16,2025-12-05,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-05T11:30:00
36,17,2025-12-05,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-05T21:30:00
37,17,2025-12-05,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-05T22:30:00
38,17,2025-12-05,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-05T23:30:00
39,18,2025-12-06,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-06T09:30:00
40,18,2025-12-06,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-06T10:30:00
41,18,2025-12-06,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-06T11:30:00
42,19,2025-12-06,rejected,supervisor,creator,rejected,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-06T21:30:00
43,20,2025-12-07,rejected,supervisor,creator,rejected,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-07T09:30:00
44,21,2025-12-07,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-07T21:30:00
45,21,2025-12-07,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-07T22:30:00
46,21,2025-12-07,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-07T23:30:00
47,22,2025-12-08,rejected,supervisor,creator,rejected,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-08T09:30:00
48,23,2025-12-08,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-08T21:30:00
49,23,2025-12-08,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-08T22:30:00
50,23,2025-12-08,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-08T23:30:00
51,24,2025-12-09,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-09T09:30:00
52,24,2025-12-09,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-09T10:30:00
53,24,2025-12-09,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-09T11:30:00
54,25,2025-12-09,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-09T21:30:00
55,25,2025-12-09,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-09T22:30:00
56,25,2025-12-09,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-09T23:30:00
57,26,2025-12-10,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-10T09:30:00
58,26,2025-12-10,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-10T10:30:00
59,26,2025-12-10,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-10T11:30:00
60,27,2025-12-10,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-10T21:30:00
61,27,2025-12-10,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-10T22:30:00
62,27,2025-12-10,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-10T23:30:00
63,28,2025-12-11,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-11T09:30:00
64,28,2025-12-11,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-11T10:30:00
65,28,2025-12-11,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-11T11:30:00
66,29,2025-12-11,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-11T21:30:00
67,29,2025-12-11,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-11T22:30:00
68,29,2025-12-11,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-11T23:30:00
69,30,2025-12-12,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-12T09:30:00
70,30,2025-12-12,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-12T10:30:00
71,30,2025-12-12,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-12T11:30:00
72,31,2025-12-12,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-12T21:30:00
73,31,2025-12-12,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-12T22:30:00
74,31,2025-12-12,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-12T23:30:00
75,32,2025-12-13,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-13T09:30:00
76,32,2025-12-13,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-13T10:30:00
77,32,2025-12-13,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-13T11:30:00
78,33,2025-12-13,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-13T21:30:00
79,33,2025-12-13,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-13T22:30:00
80,33,2025-12-13,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-13T23:30:00
81,34,2025-12-14,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-14T09:30:00
82,34,2025-12-14,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-14T10:30:00
83,34,2025-12-14,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-14T11:30:00
84,35,2025-12-14,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-14T21:30:00
85,35,2025-12-14,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-14T22:30:00
86,35,2025-12-14,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-14T23:30:00
87,36,2025-12-15,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-15T09:30:00
88,36,2025-12-15,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-15T10:30:00
89,36,2025-12-15,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-15T11:30:00
90,37,2025-12-15,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-15T21:30:00
91,37,2025-12-15,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-15T22:30:00
92,37,2025-12-15,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-15T23:30:00
93,38,2025-12-16,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-16T09:30:00
94,38,2025-12-16,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-16T10:30:00
95,38,2025-12-16,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-16T11:30:00
96,39,2025-12-16,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-16T21:30:00
97,39,2025-12-16,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-16T22:30:00
98,39,2025-12-16,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-16T23:30:00
